FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,64.049,64.215,64.602,64.944,65.303,65.615,66.126,66.385,66.744,67.098,67.44,67.783,68.335,68.862,69.278,69.564,69.808,70.054,70.271,70.507,70.771,71.344,71.485,71.606,71.711,71.792,71.831,72.448,72.519,72.531,72.546,72.592,72.717,72.777,72.796,72.832,72.856,72.904,72.94,72.857,72.939,73.044,73.135,73.236,73.223,73.415,73.498,73.642,73.783,73.974,74.297,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,44.169658253166034,44.46883833625744,44.87788992764365,45.160582805882974,45.5356954673738,45.770722923355166,45.7657253575752,46.44074541643187,46.73863174696029,46.977475702472034,47.24800568073953,47.464015659150455,47.166792282710624,47.746607924016764,47.74432776397971,47.96854805476745,48.56813819828204,48.86072488566633,48.98391671335207,49.41698838473511,49.81671313805198,50.02049329675216,50.29082937972053,48.90409565657024,48.99795867025365,49.39290246408778,50.00976149891163,51.06894293209706,50.87660706149465,51.265873514076254,51.09632645430471,50.87324360639456,50.71594604789205,51.07376191337756,50.96658879564646,51.48205668133573,51.353189836073774,51.57088651714292,51.31795547213679,51.807077244986765,52.55734186267767,52.87553605362866,53.20674433430259,53.67830476858219,54.192927866043405,54.807680713633566,55.693515257845256,56.48435317845337,57.24010632287976,58.095527143646336,58.82727920628206,59.20000403007008,60.24951235984674,60.895739752772,61.25143601567095,61.713030523494965,62.16798131691992,62.59127509615006,63.33069135823358,63.85726128370424,63.766484002694334,62.97999918574936,64.48701954566079,65.14629085538499
A,Annual,AFG,Afghanistan,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,32.799,33.291,33.757,34.201,34.673,35.124,35.583,36.042,36.51,36.979,37.46,37.932,38.423,38.951,39.469,39.994,40.518,41.082,40.086,38.844,39.258,39.406,36.058,36.517,31.473,32.132,38.4,38.831,43.238,44.496,45.118,45.521,46.569,51.021,50.969,52.103,52.83,53.212,52.487,54.532,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035
A,Annual,AFW,Africa Western and Central,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,37.77963638871597,38.05895550156452,38.68179238427513,38.93691777142051,39.19457988272974,39.479784495267154,39.71924803116182,39.529359024211765,40.258889546256135,40.56781413337615,41.27793850701112,41.7301022111752,42.35613221993729,42.868123039133785,43.437155334366736,43.96707937937149,44.75257004641062,45.362264158998784,45.87627836492552,46.32850664165678,46.69622897030391,47.07521929869733,47.37394201653672,47.619502969940456,47.79751435951365,47.944274986639485,48.037974403283904,48.1393774166565,48.371334911766425,48.495964388199454,48.459295454490906,48.53107588419448,48.688592135760274,48.85494001323091,48.85928310635737,49.027006694121965,49.11155737044585,49.21878348591643,49.45245902400786,49.82376332925814,50.29798308157511,50.67779041313839,51.10802357113428,51.57812224462531,52.10608309357605,52.55575310011284,52.97870970612833,53.48243140534494,53.91626163332081,53.85224546200102,54.60335321338802,54.96397348902264,55.29270582179175,55.55490740758571,55.69544633985686,56.03833564843547,56.39245185073669,56.626438811256605,57.03697644138602,57.14984675551184,57.364425401110665,57.36257169102738,57.98781339451894,58.85572154832765
A,Annual,AGO,Angola,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,37.933,36.902,37.168,37.419,37.704,37.968,38.258,38.616,38.968,39.329,39.688,40.076,40.469,40.871,41.26,40.817,40.812,41.215,41.573,41.913,42.242,42.556,42.857,41.972,42.245,42.495,42.739,40.786,41.471,41.698,41.854,43.812,42.267,42.19,43.567,46.139,46.418,46.688,45.452,45.808,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617
A,Annual,ALB,Albania,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,56.413,57.488,58.494,59.479,60.404,61.273,62.149,62.976,63.788,64.538,65.234,65.896,66.526,67.107,67.633,68.12,68.57,68.992,69.367,69.617,69.903,70.145,70.425,70.705,70.984,71.282,71.665,71.981,72.217,72.457,72.71,73.001,73.303,73.638,73.837,74.022,74.113,73.383,74.357,74.568,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602
A,Annual,AND,Andorra,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,72.094,72.573,72.993,73.298,73.624,73.856,74.02,74.119,74.22,74.296,74.452,74.615,74.864,75.096,75.34,75.567,75.869,76.154,76.488,76.819,77.137,77.391,77.617,77.787,77.916,78.006,78.107,78.189,78.364,78.557,78.961,79.346,79.794,80.186,80.587,80.804,81.009,81.145,81.28,81.55,81.863,82.162,82.448,82.718,82.815,83.086,83.374,83.632,83.855,84.1,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041
A,Annual,ARB,Arab World,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,44.794055674045445,45.54537103960971,45.99376916980366,46.97933815339987,47.5700340647645,48.117159090464014,48.62542398256462,49.09243360259728,49.6577868587798,50.148856580365766,50.69287106225574,51.318318885342,51.89371042765737,52.301960479589326,52.92555021552933,53.42035119442223,53.85064898830159,55.08192224077834,55.75712848175297,56.47974815192209,57.00635328896794,57.56916644442653,57.870234578278406,58.637606737855336,59.329581749818345,59.98946111400081,60.91868449454013,61.62080933136935,61.67153285599113,62.29824717621701,62.755972729980186,62.82750662324067,63.57557628287246,64.60128010613629,64.85008322612741,65.2025060952802,65.5268890989846,65.85299249431291,66.19357928898265,66.54993439029565,66.89069989493441,67.24061704399263,67.58063027913427,67.65033494987773,67.73310290404432,68.0405024136348,68.49126523878118,68.87922643869935,69.2581327561764,69.70690354105932,69.80732210120267,69.36333768598261,69.84231660209397,70.19210584512727,70.53506663102809,70.65801236951921,70.89648811644281,71.11285600806465,71.43129978591368,71.83989326749717,70.72655881038621,70.40411448899029,71.87609559922223,72.44467835785314
A,Annual,ARE,United Arab Emirates,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,50.651,51.596,52.546,53.509,54.495,55.512,56.572,57.648,58.727,59.764,60.78,61.753,62.675,63.542,64.351,65.105,65.806,66.471,67.083,67.645,68.157,68.622,69.056,69.448,69.802,70.123,70.41,70.623,70.808,70.96,71.074,71.144,71.166,71.159,71.204,71.392,71.82,72.559,73.66,74.982,76.347,77.621,78.721,79.6,80.272,80.779,81.155,81.438,81.591,81.679,81.886,81.898,81.913,81.95,81.99,82.076,82.195,82.388,82.449,82.596,81.936,79.083,80.487,82.909
A,Annual,ARG,Argentina,WB_WDI_SP_DYN_LE00_IN,"Life expectancy at birth, total (years)",YR,Years,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,64.242,64.631,64.618,64.855,64.816,65.053,65.398,65.467,65.234,65.085,65.647,65.619,65.953,66.186,66.405,66.965,67.03,67.595,67.999,68.434,68.576,68.858,68.973,69.29,69.353,69.879,70.281,70.699,71.097,71.502,71.615,72.02,72.096,72.303,72.732,72.864,73.056,73.407,73.412,73.683,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395
