Voter ID,Latitude,Longitude
V0001,40.46446966651119,-80.00612406667271
V0002,40.442859591605774,-80.08545219274703
V0003,40.457464897215964,-79.95471878914155
V0004,40.42764014325702,-79.93912225297208
V0005,40.42292696985423,-80.02008019311616
V0006,40.496863131464956,-80.07990508488643
V0007,40.45394476967804,-79.9456688277803
V0008,40.4686780588306,-80.03335486075643
V0009,40.43080735329123,-80.00190606712519
V0010,40.47977724373314,-79.97449525236307
V0011,40.49859918174704,-80.0878650710278
V0012,40.4926249909954,-79.9405403936404
V0013,40.46186693048472,-79.96978410991107
V0014,40.40691362625136,-79.92029762153975
V0015,40.423562203074574,-80.08310479079441
V0016,40.49810930817775,-80.0412105391856
V0017,40.42214913631699,-79.9476451107112
V0018,40.424128960815196,-80.09969791909984
V0019,40.47357898312972,-79.92212238101453
V0020,40.49938255483343,-79.90154868224319
V0021,40.47635690744853,-79.99508995230798
V0022,40.415085367832496,-79.93339664067578
V0023,40.476538654001,-79.91076671320043
V0024,40.435546284825605,-80.02085082411845
V0025,40.406023315111234,-80.08245528658695
V0026,40.42085915265125,-80.02971396550478
V0027,40.4270995852006,-80.01314754230056
V0028,40.4239210787124,-80.0326417845668
V0029,40.44801381346058,-79.99840572473246
V0030,40.49167553982936,-79.90980786758097
V0031,40.42065842204483,-80.04722742176746
V0032,40.41924530876433,-79.95233477095721
V0033,40.49642611582824,-80.0428405849779
V0034,40.43279056220828,-80.02504592074895
V0035,40.46570776580274,-79.98655143535255
V0036,40.45859768926551,-79.98654428415398
V0037,40.48450943633848,-79.99727203695426
V0038,40.452658183920995,-80.0363940856339
V0039,40.400131789542215,-80.03288764023759
V0040,40.49798762977685,-80.0040033436987
V0041,40.43713471051887,-80.00766562160685
V0042,40.41709583574476,-80.02327674509314
V0043,40.4273483026082,-79.90192334952464
V0044,40.42583383762,-80.05764532659849
V0045,40.48297761852384,-80.09376535997859
V0046,40.46411354856647,-80.08692809659159
V0047,40.465470406180216,-79.9844612752177
V0048,40.41849820037141,-80.00691009358383
V0049,40.41189658676057,-79.94443916137644
V0050,40.42685450292368,-79.91185284871337
V0051,40.41613754613096,-80.09319463461274
V0052,40.43907207301332,-80.0301328045971
V0053,40.46813547795602,-80.00095724630225
V0054,40.49782626551572,-79.9823576324632
V0055,40.48478227997774,-80.09790714060466
V0056,40.488404976478016,-79.95248504302424
V0057,40.47237739682242,-80.04263449357022
V0058,40.483043980332916,-79.95540673351148
V0059,40.48043140910574,-80.00369071705639
V0060,40.44498854746548,-79.94419940662554
V0061,40.40957975934294,-79.99549096569037
V0062,40.49924695974336,-80.09760464537193
V0063,40.4890251334895,-79.91514657639891
V0064,40.44098973418229,-80.03106895644348
V0065,40.40610962515579,-79.9093555131091
V0066,40.42019943145152,-79.93855591608923
V0067,40.4238521358727,-80.00840000727462
V0068,40.45040512618388,-80.08114275166272
V0069,40.473144890000896,-80.03225288893817
V0070,40.407352249048216,-80.09142238521147
V0071,40.43224806078391,-79.96223357739684
V0072,40.47231888579642,-80.00113928685943
V0073,40.476005779977896,-79.9350512383949
V0074,40.49103220028099,-79.99819974418226
V0075,40.44118433137931,-79.93575321164863
V0076,40.43146124011656,-79.94865102027609
V0077,40.478132740552944,-80.0399586949766
V0078,40.475214088883035,-79.95961764541127
V0079,40.48226331716006,-80.06518369651855
V0080,40.40791715285479,-79.92011869786172
V0081,40.48682373622513,-79.9827828115916
V0082,40.48923161021333,-79.9588043290356
V0083,40.48719535047577,-79.99897091536636
V0084,40.471297587454906,-79.99963032799715
V0085,40.44948668051753,-80.07919822405464
V0086,40.43313370321736,-79.97390804729531
V0087,40.47973678445594,-79.93345373373474
V0088,40.486186910152895,-79.90365827844936
V0089,40.4989987948313,-80.09702935270522
V0090,40.45656376286773,-79.93914407217767
V0091,40.44806610510855,-80.01417189011828
V0092,40.46537207506885,-80.0698422596926
V0093,40.40888299954363,-79.98244016050539
V0094,40.45149925588047,-79.98326998055606
V0095,40.49660545282734,-79.97837020021547
V0096,40.47905733080615,-80.00171208616449
V0097,40.48820833059994,-80.01796501691305
V0098,40.49617814547027,-79.91758588344025
V0099,40.4889483919532,-80.00446314705069
V0100,40.48214862365526,-79.95591933853387
